service_description,category
repair leaking faucet in bathroom sink,plumbing
replace broken toilet,plumbing
unclog bathtub drain,plumbing
repair leaking shower head,plumbing
install new dishwasher,plumbing
install new bathroom vanity,plumbing
repair leaking water heater,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new bathroom fixtures,plumbing
repair leaking toilet,plumbing
install new bathroom vanity,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new bathroom fixtures,plumbing
repair leaking toilet,plumbing
install new bathroom vanity,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new bathroom fixtures,plumbing
repair leaking toilet,plumbing
install new bathroom vanity,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new bathroom fixtures,plumbing
repair leaking toilet,plumbing
install new bathroom vanity,plumbing
install new garbage disposal,plumbing
install new water softener,plumbing
repair leaking pipe under kitchen sink,plumbing
replace old showerhead with a new one,plumbing
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new smoke detectors,electrical
install new electrical outlet in garage,electrical
install new outdoor security cameras,electrical
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new smoke detectors,electrical
install new electrical outlet in garage,electrical
install new outdoor security cameras,electrical
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new smoke detectors,electrical
install new electrical outlet in garage,electrical
install new outdoor security cameras,electrical
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new smoke detectors,electrical
install new electrical outlet in garage,electrical
install new outdoor security cameras,electrical
install new recessed lighting in kitchen,electrical
install new electrical outlet in living room,electrical
install new ceiling fan in bedroom,electrical
install new outdoor lighting,electrical
install new security system,electrical
install new smoke detectors,electrical
upgrade electrical panel,electrical
install new doorbell with video camera,electrical
install new light fixtures in hallway,electrical
troubleshoot and repair faulty outlet in bedroom,electrical
install new ceiling fan in living room,electrical
paint kitchen cabinets white,painting
paint bedroom walls a calming blue color,painting
paint exterior trim,painting
"paint entire house, interior and exterior",painting
paint accent wall in living room,painting
paint porch and patio furniture,painting
paint kitchen backsplash,painting
paint exterior door,painting
paint bathroom walls and ceiling,painting
paint living room fireplace,painting
paint bedroom closet,painting
paint hallway walls,painting
paint exterior trim,painting
paint kitchen backsplash,painting
paint bathroom walls and ceiling,painting
paint living room fireplace,painting
paint exterior door,painting
paint bedroom closet,painting
paint hallway walls,painting
paint exterior trim,painting
paint kitchen backsplash,painting
paint bathroom walls and ceiling,painting
paint exterior door,painting
paint bedroom closet,painting
paint living room fireplace,painting
paint hallway walls,painting
paint exterior trim,painting
paint kitchen backsplash,painting
paint bathroom walls and ceiling,painting
paint exterior door,painting
paint living room fireplace,painting
paint hallway walls,painting
paint bedroom closet,painting
paint exterior trim,painting
paint kitchen backsplash,painting
paint bathroom walls and ceiling,painting
paint exterior door,painting
paint living room fireplace,painting
clean air conditioning vents,cleaning
clean baseboards and moldings throughout the house,cleaning
clean entire house,cleaning
clean oven and stovetop,cleaning
clean entire kitchen,cleaning
clean floors throughout the house,cleaning
clean baseboards and moldings throughout the house,cleaning
clean entire bathroom,cleaning
clean oven and stovetop,cleaning
clean air conditioning vents,cleaning
clean floors throughout the house,cleaning
clean entire house,cleaning
clean entire bathroom,cleaning
clean entire kitchen,cleaning
clean entire bathroom,cleaning
clean entire kitchen,cleaning
clean air conditioning vents,cleaning
clean baseboards and moldings throughout the house,cleaning
clean entire house,cleaning
clean oven and stovetop,cleaning
clean entire kitchen,cleaning
clean floors throughout the house,cleaning
clean baseboards and moldings throughout the house,cleaning
clean entire bathroom,cleaning
clean oven and stovetop,cleaning
clean air conditioning vents,cleaning
clean floors throughout the house,cleaning
clean entire house,cleaning
clean entire bathroom,cleaning
clean entire kitchen,cleaning
clean air conditioning vents,cleaning
clean baseboards and moldings throughout the house,cleaning
clean refrigerator and freezer,cleaning
clean garage and shed,cleaning
clean gutters and downspouts,cleaning
clean oven and stovetop,cleaning
clean windows throughout the house,cleaning
clean carpets and upholstery throughout the house,cleaning
"deep clean entire house, including bathrooms and kitchen",cleaning
mow lawn and trim hedges,landscaping
plant new flowers in garden beds,landscaping
install new sprinkler system,landscaping
remove old tree stump from backyard,landscaping
aerate and fertilize lawn,landscaping
remove weeds from flowerbeds,landscaping
install new fence,landscaping
trim trees and bushes,landscaping
install new walkway,landscaping
install new patio furniture,landscaping
remove dead plants and debris,landscaping
install new outdoor lighting,landscaping
trim trees and bushes,landscaping
install new fence,landscaping
install new sprinkler system,landscaping
install new walkway,landscaping
install new patio furniture,landscaping
install new outdoor lighting,landscaping
install new sprinkler system,landscaping
remove dead plants and debris,landscaping
trim trees and bushes,landscaping
install new fence,landscaping
install new walkway,landscaping
install new patio furniture,landscaping
install new outdoor lighting,landscaping
remove dead plants and debris,landscaping
install new fence,landscaping
install new sprinkler system,landscaping
install new patio furniture,landscaping
install new walkway,landscaping
trim trees and bushes,landscaping
install new outdoor lighting,landscaping
remove dead plants and debris,landscaping
install new sprinkler system,landscaping
trim trees and bushes,landscaping
install new fence,landscaping
install new patio furniture,landscaping
install new walkway,landscaping
move appliances to new location,moving
move boxes from one room to another,moving
move belongings from one house to another,moving
move boxes from storage unit to new house,moving
"move heavy items, such as a piano, up a flight of stairs",moving
"move small items, such as boxes, from one location to another",moving
move belongings from one house to another,moving
move appliances to new location,moving
move heavy furniture to a different room,moving
move boxes from one room to another,moving
"move heavy items, such as a piano, up a flight of stairs",moving
"move small items, such as boxes, from one location to another",moving
move boxes from storage unit to new house,moving
move heavy furniture to a different room,moving
move boxes from one room to another,moving
move appliances to new location,moving
"move heavy items, such as a piano, up a flight of stairs",moving
move belongings from one house to another,moving
move boxes from storage unit to new house,moving
move heavy furniture to a different room,moving
"move small items, such as boxes, from one location to another",moving
move boxes from one room to another,moving
move boxes from storage unit to new house,moving
"move heavy items, such as a piano, up a flight of stairs",moving
move appliances to new location,moving
move belongings from one house to another,moving
"move small items, such as boxes, from one location to another",moving
move boxes from one room to another,moving
move heavy furniture to a different room,moving
move appliances to new location,moving
move belongings from one house to another,moving
"move heavy items, such as a piano, up a flight of stairs",moving
move belongings from one apartment to another,moving
move furniture to new office space,moving
move boxes from storage unit to new house,moving
move belongings from basement to attic,moving
"move furniture within house, including piano",moving
install new door handle and lock,handyman
fix leaky roof,handyman
replace broken window pane,handyman
repair damaged drywall,handyman
replace broken tile in bathroom floor,handyman
replace broken window screen,handyman
repair leaky faucet in kitchen sink,handyman
fix broken cabinet door,handyman
replace broken door hinge,handyman
fix broken drawer slide,handyman
repair leaky roof,handyman
replace broken window screen,handyman
replace broken door hinge,handyman
repair leaky faucet in kitchen sink,handyman
repair damaged drywall,handyman
fix broken drawer slide,handyman
fix broken cabinet door,handyman
repair leaky roof,handyman
replace broken window screen,handyman
repair damaged drywall,handyman
replace broken door hinge,handyman
repair leaky faucet in kitchen sink,handyman
fix broken cabinet door,handyman
repair leaky roof,handyman
fix broken drawer slide,handyman
replace broken window screen,handyman
repair damaged drywall,handyman
repair leaky faucet in kitchen sink,handyman
fix broken drawer slide,handyman
fix broken cabinet door,handyman
replace broken door hinge,handyman
replace broken window screen,handyman
repair leaky roof,handyman
repair damaged drywall,handyman
repair leaky faucet in kitchen sink,handyman
replace broken door hinge,handyman
fix broken drawer slide,handyman
fix broken cabinet door,handyman
